Coins_date,id,Price,Market Cap,Total volume
2019-04-06 00:00:00.000,binancecoin,19.34,2792616067.366048,229849483.8051716
2019-04-07 00:00:00.000,binancecoin,19.19,2765669698.055554,205714907.1144502
2019-04-08 00:00:00.000,binancecoin,19.11,2753819522.289884,196740286.4795227
2019-04-09 00:00:00.000,binancecoin,18.06,2607455767.786759,141666070.230572
2019-04-10 00:00:00.000,binancecoin,18.35,2650892693.214673,160615366.78953943
2019-04-11 00:00:00.000,binancecoin,18.26,2639684281.2473235,228284021.30621636
2019-04-12 00:00:00.000,binancecoin,17.69,2556784854.4432716,201908378.86127946
2019-04-13 00:00:00.000,binancecoin,18.23,2634084588.4119,212914736.75680578
2019-04-14 00:00:00.000,binancecoin,18.65,2676266097.632365,171510644.40718448
2019-04-15 00:00:00.000,binancecoin,19.32,2788134174.627825,237222536.60564196
2019-04-16 00:00:00.000,binancecoin,19.4,2801185465.9445357,189561598.9857646
2019-04-17 00:00:00.000,binancecoin,19.78,2848015640.2492385,147526522.38164505
2019-04-18 00:00:00.000,binancecoin,19.57,2827594277.5213084,228922061.57327762
2019-04-19 00:00:00.000,binancecoin,21.71,3177194444.325933,430563010.31106454
2019-04-20 00:00:00.000,binancecoin,24.31,3519431434.184245,275138624.50800997
2019-04-21 00:00:00.000,binancecoin,24.94,3602563706.1330266,346737465.98580813
2019-04-22 00:00:00.000,binancecoin,24.21,3495540287.1864386,304349171.9929486
2019-04-23 00:00:00.000,binancecoin,23.93,3455401525.684768,348689910.34892714
2019-04-24 00:00:00.000,binancecoin,22.9,3291551603.8301277,308701838.889668
2019-04-25 00:00:00.000,binancecoin,23.09,3323966724.9623795,361984107.8773101
2019-04-26 00:00:00.000,binancecoin,22.26,3206899265.1587505,336477284.5976166
2019-04-27 00:00:00.000,binancecoin,22.98,3300143640.578001,361026708.1037231
2019-04-28 00:00:00.000,binancecoin,22.32,3218331551.562439,277553530.0643344
2019-04-29 00:00:00.000,binancecoin,22.85,3297388872.0792894,207004381.52432862
2019-04-30 00:00:00.000,binancecoin,21.57,3117991943.0339575,277563434.4349025
2019-05-01 00:00:00.000,binancecoin,21.77,3142590563.2334623,270198561.86636955
2019-05-02 00:00:00.000,binancecoin,21.77,3144060673.439652,171225834.40240476
2019-05-03 00:00:00.000,binancecoin,23.39,3381322841.57467,241322881.1645154
2019-05-04 00:00:00.000,binancecoin,23.6,3417551252.416966,276097497.9856769
2019-05-05 00:00:00.000,binancecoin,22.74,3284597877.1138816,244099547.1209048
2019-05-06 00:00:00.000,binancecoin,22.85,3303686369.1607456,244837347.6671534
2019-05-07 00:00:00.000,binancecoin,22.11,3193049752.020254,224349545.55043557
2019-05-08 00:00:00.000,binancecoin,21.38,3105083982.592821,176758091.68229696
2019-05-09 00:00:00.000,binancecoin,20.6,2973223295.6839013,250990334.3875546
2019-05-10 00:00:00.000,binancecoin,18.74,2707546841.2045393,218313189.5884756
2019-05-11 00:00:00.000,binancecoin,19.56,2824317176.629537,200023697.5757745
2019-05-12 00:00:00.000,binancecoin,21.31,3092697671.987491,330046924.29264736
2019-05-13 00:00:00.000,binancecoin,20.77,2995728887.3406596,319474014.21157587
2019-05-14 00:00:00.000,binancecoin,23.49,3388558414.700642,430970519.5908193
2019-05-15 00:00:00.000,binancecoin,23.54,3401435137.1144342,379776002.63592595
2019-05-16 00:00:00.000,binancecoin,26.97,3885141797.620001,344136964.4901881
2019-05-17 00:00:00.000,binancecoin,26.48,3829113201.8656526,503936155.822242
2019-05-18 00:00:00.000,binancecoin,25.71,3699068209.2622914,386557682.81873757
2019-05-19 00:00:00.000,binancecoin,28.96,4182484650.4147897,440764805.06446075
2019-05-20 00:00:00.000,binancecoin,29.21,4217095485.716915,494012446.8039641
2019-05-21 00:00:00.000,binancecoin,29.13,4195258964.668747,233737710.79203933
2019-05-22 00:00:00.000,binancecoin,32.4,4682632626.157995,631510663.09503
2019-05-23 00:00:00.000,binancecoin,31.35,4532588998.720383,475978203.357405
2019-05-24 00:00:00.000,binancecoin,31.68,4573106102.0519495,393000478.6077677
2019-05-25 00:00:00.000,binancecoin,34.06,4912471072.256557,649817595.0802802
2019-05-26 00:00:00.000,binancecoin,35.12,5058092552.755022,643226244.0025887
2019-05-27 00:00:00.000,binancecoin,33.54,4837563400.811184,498163560.12902397
2019-05-28 00:00:00.000,binancecoin,34.24,4942744068.111627,333446099.90027976
2019-05-29 00:00:00.000,binancecoin,33.12,4783537313.794596,509306284.4423399
